_id,address,cid,city,fid,imageUrl,location/lat,location/lng,placeId,postalCode,street,title,nature,animal,architect,history,culture,hiking,park,museum,religion,amusement,senic,botanical,sport,saveCount
676b0d3449a89bca4c4a75d0,"Schloßpl., 70173 Stuttgart, Germany",9326800111956685370,Stuttgart,0x4799db35a609056f:0x816f73494c40723a,http://t3.gstatic.com/images?q=tbn:ANd9GcTRg2flEOLIDWNH0LFNLxItv7jnK2TL-Ua0zN07ttTEIV2-R83y,48.7784785,9.179548,ChIJbwUJpjXbmUcROnJATElzb4E,70173,Schloßpl.,Schlossplatz,0,0,0,1,0,0,1,0,0,0,0,0,0,
676b0d3449a89bca4c4a75d1,"Mercedesstraße 100, 70372 Stuttgart, Germany",13936095416089791380,Stuttgart,0x4799c4feda1ddf91:0xc166f4f1bffb4b94,https://lh5.googleusercontent.com/p/AF1QipP1jMIVrL--bF1MrXOPW65VrXiaN6mwxOMdprXb=w408-h272-k-no,48.7883399,9.2336743,ChIJkd8d2v7EmUcRlEv7v_H0ZsE,70372,Mercedesstraße 100,Mercedes-Benz Museum,0,0,0,0,0,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a75d2,"Reitzensteinstraße 23, 70190 Stuttgart, Germany",4567708870797286912,Stuttgart,0x4799c4d7b18be0d3:0x3f63c3046945de85,https://lh5.googleusercontent.com/p/AF1QipNBYFDF6mDfHy3qBYN3QTfVg1R49TkNgdCV0SJp=w408-h306-k-no,48.7965794,9.2027203,ChIJ0-CLsdfEmUcRhd5FaQTDYz8,70190,Reitzensteinstraße 23,Unterer Schlossgarten,0,0,0,0,0,0,1,0,0,0,1,0,0,
676b0d3449a89bca4c4a75d3,"Schillerpl. 6, 70173 Stuttgart, Germany",14985869769227993091,Stuttgart,0x4799db3578bd9cbb:0xcff8812815198003,https://lh5.googleusercontent.com/p/AF1QipMQJcrEHlqANUtVixYjSR8G6JkmGr4d7_uFL8vb=w408-h543-k-no,48.7770621,9.1795471,ChIJu5y9eDXbmUcRA4AZFSiB-M8,70173,Schillerpl. 6,Old Castle,0,0,1,1,0,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a75d4,"Wilhelmapl. 11, 70376 Stuttgart, Germany",10904564531764362308,Stuttgart,0x4799c53a999f4125:0x9754cbaab2237c44,https://lh5.googleusercontent.com/p/AF1QipO8WzxWNBGImh8D_FF8d-5T6odxpssjulm16LRI=w426-h240-k-no,48.8065276,9.2054057,ChIJJUGfmTrFmUcRRHwjsqrLVJc,70376,Wilhelmapl. 11,Maurischer Garten Stuttgart,1,0,0,0,0,0,1,0,0,0,0,1,0,
676b0d3449a89bca4c4a75d5,"Konrad-Adenauer-Straße 30-32, 70173 Stuttgart, Germany",6894434549702281216,Stuttgart,0x4799c4cb07800dd5:0x5fadf3b1d62f4955,http://t0.gstatic.com/images?q=tbn:ANd9GcSmGWbSHyTeIxbNdQCqs-bYzft01u5VbIov-3oDgr-ji_GI0dkU,48.7801002,9.1865854,ChIJ1Q2AB8vEmUcRVUkv1rHzrV8,70173,Konrad-Adenauer-Straße 30-32,Staatsgalerie Stuttgart,0,0,0,0,1,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a75d6,"Schloßpl., 70173 Stuttgart, Germany",18427763899311299800,Stuttgart,0x4799db35a819ecf7:0xffbc91a1c7379cd8,https://lh5.googleusercontent.com/p/AF1QipOeF9bgsl1nl3TNeP3NZxftxsPz51p0vRmy45n6=w408-h544-k-no,48.7785678,9.179854,ChIJ9-wZqDXbmUcR2Jw3x6GRvP8,70173,Schloßpl.,Jubiläumssäule,0,0,0,1,0,0,0,0,0,0,1,0,0,
676b0d3449a89bca4c4a75d7,"Wilhelma 13, 70376 Stuttgart, Germany",12632703663045634346,Stuttgart,0x4799c53024693861:0xaf50610cf49c692a,https://lh5.googleusercontent.com/p/AF1QipMEdRDpl2cfZ4lcY2wW1qVaiInc3-c0PwZGfnq5=w408-h306-k-no,48.8040951,9.2079984,ChIJYThpJDDFmUcRKmmc9AxhUK8,70376,Wilhelma 13,Wilhelma,1,1,0,0,0,0,1,0,0,0,0,1,0,
676b0d3449a89bca4c4a75d8,"Altes Schloss, Schillerpl. 6, 70173 Stuttgart, Germany",16572996511533812224,Stuttgart,0x4799db357767a845:0xe5ff1c850dc2ca00,https://lh5.googleusercontent.com/p/AF1QipMgK5WQglt9JJJr8vUz4PGEgmbDt-caXFF4jvLa=w426-h240-k-no,48.7773476,9.179635,ChIJRahndzXbmUcRAMrCDYUc_-U,70173,"Altes Schloss, Schillerpl. 6",History Museum Württemberg,0,0,0,1,0,0,0,1,0,0,0,0,0,
676b0d3449a89bca4c4a75d9,"Memmingerstr. 4, 70374 Stuttgart, Germany",14815246151615879907,Stuttgart,0x4799c513e5533507:0xcd9a53e15f099ae3,https://lh5.googleusercontent.com/p/AF1QipPwE-WYQpGn8i3ihqsAIZDNht-gC-73a4QlrcMh=w408-h306-k-no,48.8089873,9.2260141,ChIJBzVT5RPFmUcR45oJX-FTms0,70374,Memmingerstr. 4,Kurpark Bad Cannstatt,0,0,0,0,0,0,1,0,0,0,0,0,0,
